id	NoAdaptersSRR925687_NoPcr__PE	NoAdaptersSRR925688_NoPcr__PE	NoAdaptersSRR925697_NoPcr__PE	NoAdaptersSRR925703_NoPcr__PE	NoAdaptersSRR925714_NoPcr__PE	NoAdaptersSRR925716_NoPcr__PE	NoAdaptersSRR925720_NoPcr__PE	NoAdaptersSRR925721_NoPcr__PE	NoAdaptersSRR925726_NoPcr__PE	NoAdaptersSRR934634_NoPcr__PE	NoAdaptersSRR934636_NoPcr__PE
ENSG00000131069.18	53.06	35.41	10.83	31.68	11.12	6.69	30.25	14.55	14.53	39.72	20.32
ENSG00000131080.13	3.06	4.35	0.17	0.09	0.00	0.08	4.66	4.28	0.10	2.31	0.13
ENSG00000131089.12	5.45	11.38	7.17	1.82	11.54	5.02	3.92	7.50	5.09	11.30	7.60
ENSG00000131094.3	4.49	5.68	18.31	7.11	4.68	2.77	0.45	0.96	1.40	1.23	3.24
ENSG00000131095.10	0.25	0.00	0.00	1.83	0.64	0.00	0.00	0.00	2.14	0.00	0.00
ENSG00000131097.5	0.00	0.16	0.00	0.30	1.09	0.25	0.00	0.00	0.69	1.40	0.77
ENSG00000131100.11	82.50	104.40	60.69	61.55	179.21	75.47	76.98	114.14	87.49	66.62	19.39
ENSG00000131115.14	1.75	4.40	6.49	4.12	9.11	3.61	2.82	4.60	3.70	6.33	5.87
ENSG00000131116.10	12.81	15.92	19.84	14.00	10.50	44.82	12.44	19.58	33.20	12.84	59.70
ENSG00000131127.12	2.73	4.37	4.61	2.99	4.06	1.88	1.61	1.20	0.17	1.69	2.41
ENSG00000131143.7	702.11	849.78	609.80	889.25	333.98	405.98	780.78	732.28	788.85	1156.62	973.30
ENSG00000131148.7	28.78	6.34	35.22	47.74	35.12	18.48	20.45	23.25	41.34	15.36	17.34
ENSG00000131149.16	8.62	13.54	5.94	19.99	11.29	11.33	9.32	4.09	11.99	4.50	15.29
ENSG00000131152.4	1.29	1.77	0.71	0.19	0.14	1.37	0.31	0.95	0.29	4.38	2.66
ENSG00000131153.7	24.52	4.00	24.89	25.08	15.27	16.17	14.70	8.44	21.35	8.13	1.34
ENSG00000131165.13	98.66	58.36	64.49	46.65	74.03	88.16	53.23	90.66	90.27	64.52	101.15
ENSG00000131171.11	18.84	36.90	32.29	19.28	35.96	6.03	18.27	19.00	22.46	3.52	4.36
ENSG00000131174.4	39.36	42.35	85.04	119.59	90.81	31.39	33.63	34.10	32.05	16.28	7.05
ENSG00000131187.8	37.95	20.17	1.87	0.67	1.93	5.51	43.35	12.60	15.56	51.60	20.05
ENSG00000131188.10	16.11	13.06	30.45	1.84	1.11	22.35	12.83	6.07	6.66	22.98	71.77
ENSG00000131196.16	4.12	0.00	0.75	4.14	3.41	0.12	1.28	0.06	1.51	3.96	13.50
ENSG00000131236.15	211.76	171.62	288.78	171.20	294.15	263.83	212.40	413.90	228.08	366.47	270.36
ENSG00000131238.15	42.37	25.20	53.69	32.36	78.26	39.33	33.57	26.12	37.89	32.39	37.67
ENSG00000131242.14	3.20	1.05	0.36	0.87	1.06	1.02	3.99	1.42	0.00	2.36	0.86
ENSG00000131263.11	7.46	5.60	14.10	11.47	29.47	6.48	6.81	5.75	10.16	1.48	1.88
ENSG00000131269.14	7.49	9.39	14.93	9.83	16.61	7.00	12.33	12.98	7.38	10.91	7.20
ENSG00000131323.13	6.66	1.60	12.04	12.32	17.50	6.47	8.82	5.87	10.70	11.86	19.17
ENSG00000131351.13	14.69	4.54	21.24	13.26	16.52	17.73	12.10	8.69	26.60	17.56	10.90
ENSG00000131368.6	54.36	36.33	53.14	32.08	33.30	39.41	46.53	42.17	35.61	72.02	92.63
ENSG00000131370.14	10.08	3.39	6.19	8.94	6.41	9.66	4.28	7.48	6.10	3.82	134.19
ENSG00000131373.13	9.16	8.46	12.93	16.28	28.83	13.84	11.72	14.41	12.67	11.77	34.65
ENSG00000131374.13	1.77	4.41	4.15	2.74	5.18	1.73	3.27	5.17	2.03	0.00	3.90
ENSG00000131375.8	6.52	4.97	10.07	10.47	11.99	8.85	8.85	4.01	8.92	4.01	11.44
ENSG00000131378.12	3.51	1.38	14.59	7.46	4.32	26.95	6.62	0.00	38.33	1.62	3.68
ENSG00000131381.11	7.52	2.80	3.06	7.65	11.39	8.66	7.21	2.46	4.58	4.98	9.85
ENSG00000131386.16	0.08	0.00	0.07	1.23	0.33	0.54	1.91	1.40	0.00	0.56	0.13
ENSG00000131389.15	12.00	1.48	9.69	66.59	18.90	22.69	15.73	21.77	26.29	11.41	11.03
ENSG00000131398.12	0.00	0.00	0.07	0.17	0.63	0.04	0.00	0.00	0.00	0.00	12.08
