id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000260973	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.54	0.00	0.00	0.00
ENSG00000260975	0.00	0.00	0.00	0.00	0.00	2.20	0.00	0.00	0.00	0.00	1.13	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000261026	3.00	0.00	4.00	4.00	3.00	48.00	0.00	1.00	3.00	0.00	2.00	6.00	1.00	0.00	0.00	2.00	1.00	4.00	1.00	0.00
ENSG00000261088	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000261126	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	2.00	2.00
ENSG00000261175	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	82.00	27.00	1.00	29.00	28.00	10.00	0.00	56.00	31.00	1.00	30.00	110.00
ENSG00000261254	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
ENSG00000261324	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000261367	0.00	0.00	2.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000261467	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.60	1.14	0.00	0.00	0.00	0.00	0.00	0.96	2.00	1.00	0.00	0.00
ENSG00000261501	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000261556	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.78	1.00	0.00	0.00	0.00
ENSG00000261557	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
ENSG00000261599	5.92	5.49	2.63	4.20	3.85	6.34	7.81	0.00	3.30	5.23	2.13	83.80	10.01	5.70	5.66	2.37	15.12	6.68	16.30	3.54
ENSG00000261602	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
ENSG00000261609	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
